,"Uv, V","Ui, V","p, mkbar","Uvch, V"
0,-77.7,-0.613,62.9,203
1,-64.3,-0.555,62.9,203
2,-45.4,-0.471,62.9,203
3,-33.7,-0.415,62.9,203
4,-18.3,-0.333,62.9,203
5,-8.2,-0.244,62.9,203
6,2.9,0.079,62.9,203
7,7.2,0.183,62.9,203
8,11.8,0.243,62.9,203
9,17.4,0.279,62.9,203
10,22.2,0.304,62.9,203
11,28.9,0.335,62.9,203
12,33.5,0.356,62.9,203
13,37.9,0.375,62.9,203
14,43.1,0.398,62.9,203
15,50.5,0.428,62.9,203
16,57.0,0.455,62.9,203
17,59.8,0.466,62.9,203
18,63.2,0.479,62.9,203
19,64.8,0.485,62.9,203
20,67.6,0.496,62.9,203
21,70.9,0.509,62.9,203
22,75.3,0.525,62.9,203
23,77.6,0.533,62.9,203
24,0.1,0.016,62.9,203
25,3.8,0.146,62.9,203
26,-6.6,-0.213,62.9,203
27,-9.0,-0.256,62.9,203
28,-11.4,-0.282,62.9,203
29,1.5,0.029,62.9,203
30,3.9,0.105,62.9,203
31,-2.4,-0.099,62.9,203
32,-67.3,-0.651,62.9,250
33,-57.3,-0.603,62.9,250
34,-47.8,-0.555,62.9,250
35,-37.5,-0.501,62.9,250
36,-27.9,-0.449,62.9,250
37,-17.8,-0.388,62.9,250
38,-7.6,-0.281,62.9,250
39,-3.8,-0.173,62.9,250
40,0.6,0.004,62.9,250
41,5.3,0.176,62.9,250
42,12.8,0.302,62.9,250
43,23.3,0.365,62.9,250
44,33.5,0.417,62.9,250
45,43.9,0.467,62.9,250
46,53.2,0.51,62.9,250
47,63.3,0.554,62.9,250
48,73.2,0.597,62.9,250
49,76.6,0.611,62.9,250
50,8.0,0.239,62.9,250
51,6.5,0.204,62.9,250
52,2.1,0.063,62.9,250
53,9.8,0.267,62.9,250
54,-5.9,-0.236,62.9,250
55,-1.6,-0.09,62.9,250
56,-12.0,-0.34,62.9,250
57,-75.3,-0.781,62.9,300
58,-63.7,-0.717,62.9,300
59,-53.8,-0.664,62.9,300
60,-43.9,-0.609,62.9,300
61,-33.8,-0.55,62.9,300
62,-24.0,-0.49,62.9,300
63,-12.2,-0.404,62.9,300
64,-1.2,-0.035,62.9,300
65,8.3,0.294,62.9,300
66,15.9,0.38,62.9,300
67,25.5,0.438,62.9,300
68,35.1,0.49,62.9,300
69,46.0,0.547,62.9,300
70,57.0,0.6,62.9,300
71,65.6,0.64,62.9,300
72,75.4,0.69,62.9,300
73,12.7,0.352,62.9,300
74,6.4,0.247,62.9,300
75,3.5,0.146,62.9,300
76,-1.2,-0.075,62.9,300
77,-4.6,-0.23,62.9,300
78,-6.2,-0.288,62.9,300
79,-9.8,-0.369,62.9,300
80,-74.3,-0.851,62.9,350
81,-64.8,-0.789,62.9,350
82,-55.1,-0.734,62.9,350
83,-44.8,-0.684,62.9,350
84,-34.8,-0.623,62.9,350
85,-24.8,-0.558,62.9,350
86,-16.4,-0.498,62.9,350
87,-10.3,-0.426,62.9,350
88,-7.7,-0.37,62.9,350
89,-5.0,-0.279,62.9,350
90,-0.8,-0.061,62.9,350
91,2.8,0.141,62.9,350
92,5.1,0.24,62.9,350
93,7.6,0.319,62.9,350
94,10.4,0.377,62.9,350
95,12.2,0.4,62.9,350
96,20.7,0.47,62.9,350
97,30.6,0.533,62.9,350
98,40.0,0.586,62.9,350
99,50.5,0.645,62.9,350
100,60.7,0.697,62.9,350
101,70.1,0.747,62.9,350
102,74.0,0.767,62.9,350
103,0.4,0.008,62.9,350
104,17.0,0.446,62.9,350
105,-4.0,-0.23,62.9,350
106,-72.8,-0.919,62.9,400
107,-59.7,-0.83,62.9,400
108,-49.0,-0.763,62.9,400
109,-35.9,-0.683,62.9,400
110,-22.6,-0.594,62.9,400
111,-15.1,-0.528,62.9,400
112,-9.2,-0.437,62.9,400
113,-3.4,-0.214,62.9,400
114,-0.3,-0.028,62.9,400
115,0.0,-0.009,62.9,400
116,3.3,0.177,62.9,400
117,7.7,0.361,62.9,400
118,15.2,0.475,62.9,400
119,24.7,0.558,62.9,400
120,37.1,0.643,62.9,400
121,48.0,0.704,62.9,400
122,56.4,0.753,62.9,400
123,65.4,0.806,62.9,400
124,72.5,0.848,62.9,400
