,theta,"I, cps","dI, cps","tc, ms","dtc, s",sample,I_norm,dI_norm,"theta, rad",sin theta,"theta, rad -1",I_norm_sined,dI_norm_sined,"I, Mcps","dI, Mcps"
0,20,805000.000,20000.000,3.570,1.118,gold,2.492,0.062,0.349,0.342,-0.349,0.852,0.021,0.805,0.020
1,30,585000.000,20000.000,2.056,0.572,gold,1.811,0.062,0.524,0.500,-0.524,0.906,0.031,0.585,0.020
2,40,478000.000,5000.000,1.189,0.805,gold,1.480,0.015,0.698,0.643,-0.698,0.951,0.010,0.478,0.005
3,50,410000.000,6000.000,0.619,0.158,gold,1.269,0.019,0.873,0.766,-0.873,0.972,0.014,0.410,0.006
4,60,342000.000,6000.000,0.483,0.132,gold,1.059,0.019,1.047,0.866,-1.047,0.917,0.016,0.342,0.006
5,70,345000.000,6000.000,0.356,0.109,gold,1.068,0.019,1.222,0.940,-1.222,1.004,0.017,0.345,0.006
6,80,333000.000,4000.000,0.288,0.160,gold,1.031,0.012,1.396,0.985,-1.396,1.015,0.012,0.333,0.004
7,90,323000.000,9000.000,0.228,0.063,gold,1.000,0.028,1.571,1.000,-1.571,1.000,0.028,0.323,0.009
8,100,323000.000,9000.000,0.205,0.070,gold,1.000,0.028,1.745,0.985,-1.745,0.985,0.027,0.323,0.009
9,120,368000.000,3000.000,0.167,0.069,gold,1.139,0.009,2.094,0.866,-2.094,0.987,0.008,0.368,0.003
10,130,387000.000,5000.000,0.143,0.075,gold,1.198,0.015,2.269,0.766,-2.269,0.918,0.012,0.387,0.005
11,140,462000.000,10000.000,0.121,0.048,gold,1.430,0.031,2.443,0.643,-2.443,0.919,0.020,0.462,0.010
12,20,2800000.000,150000.000,21.520,4.951,sulfur,2.667,0.143,0.349,0.342,-0.349,0.912,0.049,2.800,0.150
13,30,2300000.000,100000.000,9.215,2.626,sulfur,2.190,0.095,0.524,0.500,-0.524,1.095,0.048,2.300,0.100
14,40,2050000.000,100000.000,5.027,1.664,sulfur,1.952,0.095,0.698,0.643,-0.698,1.255,0.061,2.050,0.100
15,50,1720000.000,30000.000,3.997,0.574,sulfur,1.638,0.029,0.873,0.766,-0.873,1.255,0.022,1.720,0.030
16,60,1500000.000,30000.000,2.998,1.026,sulfur,1.429,0.029,1.047,0.866,-1.047,1.237,0.025,1.500,0.030
17,70,1270000.000,20000.000,2.190,0.478,sulfur,1.210,0.019,1.222,0.940,-1.222,1.137,0.018,1.270,0.020
18,80,1130000.000,20000.000,1.698,0.358,sulfur,1.076,0.019,1.396,0.985,-1.396,1.060,0.019,1.130,0.020
19,90,1050000.000,15000.000,1.348,0.269,sulfur,1.000,0.014,1.571,1.000,-1.571,1.000,0.014,1.050,0.015
20,100,940000.000,10000.000,1.003,0.299,sulfur,0.895,0.010,1.745,0.985,-1.745,0.882,0.009,0.940,0.010
21,110,940000.000,20000.000,0.991,0.236,sulfur,0.895,0.019,1.920,0.940,-1.920,0.841,0.018,0.940,0.020
22,120,880000.000,10000.000,0.780,0.067,sulfur,0.838,0.010,2.094,0.866,-2.094,0.726,0.008,0.880,0.010
23,130,935000.000,15000.000,0.652,0.069,sulfur,0.890,0.014,2.269,0.766,-2.269,0.682,0.011,0.935,0.015
24,140,1030000.000,15000.000,0.554,0.047,sulfur,0.981,0.014,2.443,0.643,-2.443,0.631,0.009,1.030,0.015
