"Uv, V";"Ui, V";"Uvch, V";"p, mkbar"
-79;"-0,045";200;345
"-65,4";"-0,046";200;345
"-57,8";"-0,045";200;345
"-42,8";"-0,045";200;345
-38;"-0,044";200;345
"-23,5";"-0,042";200;345
"-20,2";"-0,042";200;345
"-12,6";"-0,039";200;345
"-9,1";"-0,035";200;345
"-5,8";"-0,027";200;345
"-2,8";"-0,016";200;345
"4,2";"0,014";200;345
"10,7";"0,032";200;345
"12,1";"0,034";200;345
"18,7";"0,038";200;345
"30,3";"0,043";200;345
"37,3";"0,044";200;345
"45,5";"0,047";200;345
"54,6";"0,05";200;345
"63,6";"0,054";200;345
"70,2";"0,055";200;345
"-78,6";"-0,162";250;345
"-68,3";"-0,154";250;345
"-58,8";"-0,14";250;345
"-45,3";"-0,129";250;345
"-34,9";"-0,112";250;345
"-28,3";"-0,106";250;345
"-20,6";"-0,099";250;345
"-13,6";"-0,088";250;345
"-8,9";"-0,071";250;345
"-5,4";"-0,052";250;345
"1,6";"0,002";250;345
"5,3";"0,032";250;345
"9,3";"0,056";250;345
"13,7";"0,072";250;345
"18,8";"0,08";250;345
"29,8";"0,09";250;345
"38,9";"0,097";250;345
"50,7";"0,106";250;345
"57,4";"0,11";250;345
"63,5";"0,113";250;345
71;"0,119";250;345
-78;"-0,258";300;345
"-67,4";"-0,249";300;345
-59;"-0,24";300;345
"-47,5";"-0,226";300;345
"-39,1";"-0,217";300;345
"-29,4";"-0,204";300;345
"-21,1";"-0,191";300;345
"-10,8";"-0,153";300;345
"-7,8";"-0,127";300;345
"-4,4";"-0,086";300;345
"-0,4";"-0,03";300;345
"4,5";"0,046";300;345
"10,6";"0,12";300;345
"18,5";"0,168";300;345
"28,9";"0,189";300;345
"36,9";"0,202";300;345
"53,2";"0,227";300;345
"60,7";"0,238";300;345
"65,8";"0,246";300;345
"70,2";"0,242";300;345
"73,5";"0,243";300;345
-77;"-0,446";350;345
"-70,5";"-0,44";350;345
"-66,1";"-0,432";350;345
-59;"-0,417";350;345
"-52,7";"-0,403";350;345
"-45,3";"-0,347";350;345
"-35,3";"-0,366";350;345
"-21,9";"-0,332";350;345
-15;"-0,304";350;345
"-10,9";"-0,266";350;345
"-5,6";"-0,176";350;345
"2,1";"0,013";350;345
"0,7";"-0,021";350;345
"5,5";"0,097";350;345
"11,9";"0,221";350;345
"20,1";"0,289";350;345
"31,2";"0,318";350;345
"39,2";"0,333";350;345
"49,6";"0,349";350;345
"57,5";"0,356";350;345
"64,2";"0,37";350;345
"70,4";"0,383";350;345
